Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
|Seitarō Hara                          |939,000,000.00   |
|James Foley                           |937,800,000.00   |
|Gary Trousdale                        |936,438,851.00   |
|Christopher Newman                    |930,263,793.00   |
|Adam McKay                            |924,611,398.00   |
|Joe Ranft                             |924,400,000.00   |
|Brett Hoffman                         |923,411,490.00   |
|John Mahaffie                         |914,968,365.00   |
|Clyde Geronimi                        |914,714,000.00   |
|Rachel Griffiths                      |908,289,398.00   |
|Garrett Warren                        |908,012,153.00   |
|Tyler Perry                           |907,626,513.00   |
|Bodo Furneisen                        |901,000,000.00   |
|Josh King                             |898,000,000.00   |
|Mark Waters                           |897,335,724.00   |
|Jeff Tremaine                         |895,700,000.00   |
|Genndy Tartakovsky                    |891,600,000.00   |
|Paul Weitz                            |891,250,726.00   |
|John Glen                             |890,751,071.00   |
|Kristin Jann-Fischer                  |889,000,000.00   |
|Arthur Anderson                       |888,188,108.00   |
|Pat Robins                            |888,159,092.00   |
|Roger Donaldson                       |886,469,260.00   |
|Nora Ephron                           |879,934,166.00   |
|Wes Craven                            |879,700,764.00   |
|Alejandro González Iñárritu           |877,500,000.00   |
|Olivier Megaton                       |873,879,549.00   |
|Peter Weir                            |871,928,365.00   |
|Scott Robertson                       |869,861,269.00   |
|Mickaël Soyez                         |865,000,000.00   |
|David O. Russell                      |861,902,110.00   |
|Jennifer Yuan                         |860,764,401.00   |
|Vicky Jenson                          |858,114,729.00   |
|Ronnie del Carmen                     |857,600,000.00   |
|Lemuel Lorca                          |856,000,000.00   |
|Danny Boyle                           |854,565,072.00   |
|Seth MacFarlane                       |853,300,000.00   |
|Espen Sandberg                        |852,422,298.00   |
|Doug Lefler                           |850,695,036.00   |
|Max Keene                             |847,635,963.00   |
|Darren Aronofsky                      |845,852,455.00   |
|Chuck Russell                         |844,048,454.00   |
|Scott Peterson                        |840,719,137.00   |
|Nicolás Pereda                        |839,000,000.00   |
|Carlo Rola                            |835,000,000.00   |
|John Badham                           |830,697,285.00   |
|Gordon Piper                          |828,300,000.00   |
|Todd Hallowell                        |821,042,341.00   |
|David Zucker                          |819,004,196.00   |
|Galen T. Chu                          |817,200,000.00   |
|Andreas Climent                       |817,000,000.00   |
|André Hedetoft                        |817,000,000.00   |
|Nicholas Stoller                      |812,500,000.00   |
|Kevin Reynolds                        |810,473,820.00   |
|David Tomblin                         |809,700,000.00   |
|Karen Richards                        |795,500,000.00   |
|David Frankel                         |795,448,385.00   |
|Robert Luketic                        |795,298,907.00   |
|Jan Haft                              |793,531,814.00   |
|Ethan Coen                            |792,545,241.00   |
|Len Wiseman                           |791,100,000.00   |
|Annette Haywood-Carter                |786,891,211.00   |
|Yimou Zhang                           |783,800,343.00   |
|Tim Miller                            |783,100,000.00   |
|David Slade                           |782,300,000.00   |
|Brad Silberling                       |775,899,222.00   |
|Will Gluck                            |774,700,000.00   |
|Kevin Costner                         |774,300,000.00   |
|Doug Coleman                          |772,400,000.00   |
|Irvin Kershner                        |771,650,000.00   |
|Aman Chang                            |771,235,000.00   |
|David Hand                            |768,700,000.00   |
|Alan J. Pakula                        |767,227,822.00   |
|Frank Oz                              |766,416,682.00   |
|Tim Hill                              |764,006,614.00   |
|Cameron Crowe                         |762,800,000.00   |
|Robert Stromberg                      |758,500,000.00   |
|Lee Tamahori                          |753,700,000.00   |
|Ram Gopal Varma                       |752,130,828.00   |
|John G. Avildsen                      |751,285,927.00   |
|Klaus Überall                         |748,000,000.00   |
|Eduardo Sánchez                       |745,882,227.00   |
|Colin Levy                            |744,200,000.00   |
|Kelsey Mann                           |744,200,000.00   |
|Dan Scanlon                           |744,200,000.00   |
|Michael Waxman                        |743,400,000.00   |
|Brian Wright                          |735,100,000.00   |
|Terry Leonard                         |734,046,244.00   |
|Jonathan Mostow                       |733,088,696.00   |
|Betty Thomas                          |731,200,000.00   |
|Phyllida Lloyd                        |730,700,000.00   |
|Sean Anders                           |728,636,875.00   |
|Erdal Gürbüz                          |726,407,642.00   |
|Seth Gordon                           |726,332,422.00   |
|Don Hall                              |725,300,000.00   |
|Maximilian Erlenwein                  |723,200,000.00   |
|John Stevenson                        |722,000,000.00   |
|Walt Becker                           |720,547,356.00   |
|Lucas Guy Taylor                      |712,200,000.00   |
|Michael Patrick King                  |709,800,000.00   |
|Roger Spottiswoode                    |708,687,971.00   |
|Jonathan Watson                       |708,000,000.00   |
|Jason Reitman                         |705,634,455.00   |
|Joe Wright                            |702,244,671.00   |
|Frant Gwo                             |699,856,699.00   |
|Judd Apatow                           |697,000,000.00   |
|Ismael Rodriguez                      |697,000,000.00   |
|Wilfred Jackson                       |696,895,000.00   |
|William Friedkin                      |696,796,096.00   |
|Paolo Brunatto                        |695,000,000.00   |
|Walt Dohrn                            |693,600,000.00   |
|Joaquim Dos Santos                    |690,503,650.00   |
|Kemp Powers                           |690,503,650.00   |
|Justin Thompson                       |690,503,650.00   |
|Anne Fletcher                         |685,500,000.00   |
|Karen Davis                           |682,800,000.00   |
|John Singleton                        |678,272,372.00   |
|Peter Ramsey                          |677,500,000.00   |
|Keenen Ivory Wayans                   |676,300,000.00   |
|Ulli Lommel                           |672,000,000.00   |
|Gregory Alosio                        |672,000,000.00   |
|Hayao Miyazaki                        |671,901,651.00   |
|Wu Ma                                 |668,018,000.00   |
|Rafael Escolar                        |668,000,000.00   |
|Manuel Siebenmann                     |667,000,000.00   |
|David Dobkin                          |666,600,000.00   |
|Chad Stahelski                        |666,581,711.00   |
|James Bobin                           |664,782,635.00   |
|Steve Carr                            |663,500,000.00   |
|Stephen Herek                         |663,335,553.00   |
|Claire Cowperthwaite                  |661,501,675.00   |
|Takis Hristopoulos                    |657,000,000.00   |
|John Madden                           |655,297,860.00   |
|Neil Burger                           |651,247,228.00   |
|Donald Petrie                         |650,106,147.00   |
|Michael Alan Kahn                     |649,033,559.00   |
|Richard Marquand                      |646,989,742.00   |
|Mic Rodgers                           |646,600,000.00   |
|Bobby Miller                          |646,000,000.00   |
|Taylor Hackford                       |645,933,611.00   |
|Stanley Kubrick                       |644,548,772.00   |
|Kenny Ortega                          |640,843,367.00   |
|Luke Scott                            |639,000,000.00   |
|John Moore                            |636,700,804.00   |
|Bing Lin                              |630,452,000.00   |
|Harold B Swartz                       |630,452,000.00   |
|Nick Thomas                           |630,200,000.00   |
|Ben Stiller                           |630,051,557.00   |
|Norman Jewison                        |629,808,065.00   |
|Conrad E. Palmisano                   |627,400,000.00   |
|Brett Robinson                        |624,000,000.00   |
|Peter Thorell                         |624,000,000.00   |
|Jeff Johnson                          |623,300,000.00   |
|Curtis Hanson                         |622,968,929.00   |
|Louis D'Esposito                      |622,800,000.00   |
|John Cameron                          |615,047,615.00   |
|Philipp Lothar Mayring                |615,000,000.00   |
|Brad Keller                           |615,000,000.00   |
|Geoff Harmer                          |613,000,000.00   |
|Harald Zwart                          |612,100,000.00   |
|Teo Hernandez                         |612,000,000.00   |
|Jim Abrahams                          |611,239,784.00   |
|Spike Lee                             |604,397,003.00   |
|James L. Brooks                       |603,531,309.00   |
|Harold Ramis                          |600,852,585.00   |
|Martin Brest                          |600,666,206.00   |
|Malcolm D. Lee                        |598,503,309.00   |
|Nathan Greno                          |592,461,732.00   |
|Randal Kleiser                        |592,016,691.00   |
|Bodo Fürneisen                        |591,800,000.00   |
|Duncan Jones                          |590,800,000.00   |
|P.J. Hogan                            |590,677,981.00   |
|Catherine Hardwicke                   |589,551,026.00   |
|Robert Briggs                         |587,200,000.00   |
|Jay Jackson                           |582,500,000.00   |
|Peter Hyams                           |581,952,085.00   |
|Eli Roth                              |581,800,000.00   |
|Gavin Hood                            |581,751,617.00   |
|Brian Helgeland                       |581,200,000.00   |
|Larry Charles                         |580,546,106.00   |
|Jeremy Lasky                          |579,707,738.00   |
|Robert Wise                           |578,690,600.00   |
|Mick Jackson                          |578,364,977.00   |
|Sam Taylor-Johnson                    |577,413,733.00   |
|Barry Cook                            |576,900,000.00   |
|Jean-Jacques Annaud                   |573,934,071.00   |
|John Lee Hancock                      |570,800,000.00   |
|Andy Fickman                          |569,600,000.00   |
|Timur Bekmambetov                     |569,496,082.00   |
|Walter Hill                           |569,343,215.00   |
|Jordan Vogt-Roberts                   |566,700,000.00   |
|Rupert Sanders                        |566,400,000.00   |
|Perry Martin                          |563,000,000.00   |
|Lewis Gilbert                         |558,208,658.00   |
|Gil Zimmerman                         |555,000,000.00   |
|Kevin Cooper                          |553,700,000.00   |
|Wes Anderson                          |553,346,587.00   |
|George P. Cosmatos                    |552,152,612.00   |
|Nick Cassavetes                       |550,253,992.00   |
|Juan Bosch                            |547,000,000.00   |
|Roger Michell                         |546,561,490.00   |
|Anthony Minghella                     |545,825,424.00   |
|Travis Knight                         |545,489,645.00   |
|Scott Mosier                          |545,400,000.00   |
|Neil Jordan                           |544,966,792.00   |
|Tarsem Singh                          |544,418,522.00   |
|Simon Wincer                          |543,703,207.00   |
|John Krasinski                        |543,371,754.00   |
|Kelly Cronin                          |541,912,259.00   |
|Basil Dearden                         |540,881,971.00   |
|Mark Andrews                          |540,557,415.00   |
|Steve Purcell                         |540,400,000.00   |
|Brian Larsen                          |540,400,000.00   |
|Morten Tyldum                         |536,744,152.00   |
|Shadow                                |533,000,000.00   |
|Leonard Nimoy                         |531,377,840.00   |
|Matt Johnston                         |530,200,000.00   |
|James Madigan                         |530,200,000.00   |
|Jennifer Moeller                      |527,100,000.00   |
|Matthew Schofield                     |527,100,000.00   |
|Rupert Wyatt                          |525,688,174.00   |
|Christopher Hinton                    |523,000,000.00   |
|Amy Heckerling                        |522,879,856.00   |
|Ryan Fleck                            |520,318,979.00   |
|Emile Ardolino                        |519,919,994.00   |
|Adam Wingard                          |518,273,666.00   |
|Mimi Leder                            |515,600,000.00   |
|Anna Boden                            |515,418,979.00   |
|Kelly Asbury                          |513,800,000.00   |
|Brooks P Guyer                        |513,000,000.00   |
|Kate Dennis                           |511,400,684.00   |
|Steve Hickner                         |506,200,000.00   |
|Edgar Wright                          |505,193,983.00   |
|Todd Amateau                          |504,201,771.00   |
|Joe Dante                             |503,753,213.00   |
|Kimberley Casey                       |503,000,000.00   |
|Ford Beebe                            |502,565,700.00   |
|Tao Mijares                           |501,000,000.00   |
|Jamal Joseph                          |500,000,000.00   |
|Lutz Konermann                        |500,000,000.00   |
|Daniel Espinosa                       |497,430,717.00   |
|Damien Chazelle                       |494,368,355.00   |
|Sharon Maguire                        |493,900,000.00   |
|Alexander Payne                       |492,885,112.00   |
|Baltasar Kormákur                     |492,715,617.00   |
|Mickey Gilbert                        |489,700,000.00   |
|Nick Moore                            |489,696,391.00   |
|Mark Dindal                           |487,300,000.00   |
|Diane Eskenazi                        |486,100,000.00   |
|Ryan Craig                            |484,600,000.00   |
|Paul Hopkins                          |484,163,715.00   |
|Giulio Questi                         |483,000,000.00   |
|Alfredo Giannetti                     |483,000,000.00   |
|Terry Miller                          |482,900,000.00   |
|Gabriele Muccino                      |480,200,000.00   |
|Simon Duric                           |475,000,000.00   |
|Jon Amiel                             |474,794,001.00   |
|Hal Needham                           |474,200,000.00   |
|Penny Marshall                        |474,076,425.00   |
|Nick Park                             |472,200,000.00   |
|Tom Joyner                            |472,000,000.00   |
|Zaven Najjar                          |470,700,000.00   |
|Bibo Bergeron                         |470,300,000.00   |
